,0
995,4454400
996,17864675
997,32980161
998,34347634
999,32531028
1000,32599591
1001,3709705
1002,4240820
1003,27524296
1004,11819686
1005,31339535
1006,34172397
1007,29667382
1008,33096374
1009,22846734
1010,9217643
1011,14579424
1012,30901570
1013,32187051
1014,34851968
1015,29634852
1016,32925455
1017,4659133
1018,1560141
1019,4578215
1020,33475053
1021,4611670
1022,11970934
1023,9944100
1024,4702920
1025,22993911
1026,33840659
1027,8785337
1028,33492213
1029,31242084
1030,34230134
1031,2245905
1032,7122299
1033,29966244
1034,34849843
1035,34813734
1036,34611015
1037,32013774
1038,19833706
1039,3713723
1040,16189935
1041,4496400
1042,14773428
1043,34337668
1044,8497300
1045,27166890
1046,5676961
1047,11858382
1048,30878218
1049,8784840
1050,31909257
1051,4461411
1052,4517646
1053,18276119
1054,34847026
1055,33843249
1056,34578983
1057,3874076
1058,27012725
1059,3617108
1060,4661879
1061,29513215
1062,33809676
1063,14958901
1064,34737453
1065,32848626
1066,4658350
1067,4391413
1068,21123610
1069,14906424
1070,15889516
1071,4599470
1072,33886980
1073,34537500
1074,11388772
1075,18794250
1076,31699567
1077,4221058
1078,34869070
1079,32719958
1080,3695508
1081,4505227
1082,13459953
1083,1035711
1084,3951413
1085,33827869
1086,34420057
1087,21933176
1088,3758566
1089,8914528
1090,29494981
1091,1659841
1092,25818241
1093,34355178
1094,24092576
1095,1746183
1096,6276147
1097,34438543
1098,30987381
1099,3594993
1100,29645338
1101,4415588
1102,34789293
1103,34679728
1104,34377069
1105,19582471
1106,34856334
1107,4520455
1108,5684271
1109,4486879
1110,34286646
1111,34164228
1112,4079089
1113,34918281
1114,32070333
1115,22794993
1116,4480625
1117,4562679
1118,4362367
1119,34009623
1120,26884598
1121,7957493
1122,4549844
1123,32981523
1124,1345066
1125,19331954
1126,34710802
1127,34824266
1128,4178088
1129,28114302
1130,3742666
1131,4429282
1132,96852
1133,3688138
1134,2151013
1135,33859775
1136,34299211
1137,26296227
1138,10520497
1139,33321595
1140,15630619
1141,14715211
1142,9118076
1143,32850781
1144,4700274
1145,1827483
1146,14143818
1147,31956353
1148,4656021
1149,2235033
1150,4402014
1151,33945565
1152,12619633
1153,11597063
1154,34498119
1155,2274673
1156,31827788
1157,11929899
1158,2329091
1159,1397025
1160,2830189
1161,4578521
1162,32576131
1163,33565211
1164,34491160
1165,34676265
1166,33357461
1167,30285304
1168,34701867
1169,4642275
1170,10584899
1171,32602781
1172,4507017
1173,33757717
1174,34038314
1175,32153079
1176,1621241
1177,2549576
1178,34280547
1179,3545310
1180,3516929
1181,34459678
1182,30740099
1183,4417702
1184,1127265
1185,34406967
1186,28389344
1187,29652317
1188,33815283
1189,31511282
1190,13170021
1191,4651020
1192,17968850
1193,33714255
1194,31141741
1195,4393927
1196,34442751
1197,33761156
1198,15113340
1199,14181387
1200,33046476
1201,19877703
1202,33859395
1203,34350740
1204,14587812
1205,4600641
1206,2521707
1207,4554370
1208,33847162
1209,5075915
1210,2899891
1211,3060537
1212,15750777
1213,4509072
1214,2620735
1215,31901326
1216,1740209
1217,34146356
1218,34379942
1219,27857827
1220,34689906
1221,25643600
1222,16338132
1223,34492021
1224,16460816
1225,2787733
1226,34440273
1227,2711307
1228,4246514
1229,7049317
1230,14851454
1231,1906801
1232,10995868
1233,34463248
1234,33368962
1235,2454959
1236,33877122
1237,6899138
1238,11783054
1239,28432824
1240,33788143
